ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0003779	actin binding	305/10223	448/28407	6.48288662504145e-44	8.32402642655322e-41	4.34012199318565e-41	114774/237560/22288/215789/13822/17118/171580/64009/68802/216033/237436/57778/328019/17896/67803/12808/13649/66713/108686/20742/29856/30794/11749/26936/246177/14457/15567/237860/216961/360013/12569/338367/237891/16796/217169/94040/212073/52690/14026/11565/268534/20259/12632/208846/319565/263406/20741/109711/217692/238328/11472/218194/67252/75477/67399/100503085/57748/544963/13803/17755/22330/16531/11752/24131/503844/218952/63985/11727/14623/213019/18826/286940/218699/56419/93688/75646/17909/52589/223513/20649/211401/11514/14083/11838/18810/17886/110253/223701/170736/64099/58234/66725/19230/22379/65970/239719/224014/107589/15163/54483/14525/56370/78885/667772/320712/13548/69310/50873/17356/17916/76448/22350/13823/213556/18754/16210/225288/30948/12385/13367/225115/104027/319713/17919/54132/20743/27360/18175/226251/71653/69312/74117/12767/21952/226594/21346/54418/13800/226841/13518/17912/17756/21961/76709/22349/12570/171531/228421/14260/640524/241639/12296/74103/74189/76467/667663/11350/227753/74192/17996/71409/77767/319876/241431/329421/215280/22138/70599/99662/71994/59006/118449/56376/14469/68810/18645/229474/404710/59069/20198/16351/12331/11426/14201/269587/242687/12345/56226/21894/107684/54366/338355/74376/23790/231637/231646/63873/17906/56378/29816/215114/72041/231830/14086/66898/56443/11867/245880/18127/242894/22629/59003/231148/70292/22388/77569/14473/27428/68089/194401/20276/13860/12344/232533/12343/73178/109624/243725/12332/19240/12386/69538/320502/16332/320878/57342/12721/76612/21953/16985/13043/22323/26365/26367/63986/18301/71960/67425/21954/13009/14453/20430/29875/26557/17921/244281/20650/244654/72042/234857/16412/69697/14300/53318/72333/77113/270058/326618/257632/20538/17897/76499/22351/22437/245049/12774/55991/68743/208076/330938/19200/72565/235431/70549/71602/17918/208943/50875/17920/22068/102502/69693/54004/100034363/399591/666244/110380/19241/66747/208431/192176/102866/22376/17698/94190	305
GO:0050839	cell adhesion molecule binding	219/10223	306/28407	4.92973997893123e-37	3.16489306647385e-34	1.65016559294751e-34	216350/19263/22288/327743/14728/22295/68802/216033/11735/16414/16000/16480/16416/15896/18750/192897/21858/13649/68585/23964/380698/16407/66601/15567/12569/23876/320910/16413/11491/319504/109711/18222/71690/16398/109700/13723/56048/18081/13610/20963/21810/64652/218952/18826/380924/16402/12563/320873/18163/18133/13132/17988/14083/17886/14114/12805/13731/67451/11877/16419/12374/56637/57781/17470/58998/16423/13052/67374/11820/16415/13508/14811/17356/12488/19274/22350/17075/18189/16774/12558/13511/12385/14164/19255/27411/225825/21873/14585/71653/18190/23836/21367/269116/21960/20343/16456/93842/13518/12825/12168/14268/21825/241226/228564/14118/16176/19261/241639/17391/20779/19281/22403/104010/381409/12561/16776/11477/227937/16420/14089/16403/16401/16410/12388/19271/241568/80883/22329/114249/16007/68810/192167/14173/50706/99571/12480/12479/11490/67916/12557/19268/107581/17096/21894/381605/54366/53378/19266/30924/20750/19303/19247/18438/15289/18127/19126/16542/20315/232370/15170/12527/22371/14812/19277/19283/19242/93695/12386/16202/233651/16408/16409/16411/64540/12520/19294/57278/52118/18301/18733/545902/21872/17304/23966/12552/12562/12560/12550/12554/12555/16412/14182/211323/23965/12876/330814/12317/20312/244682/104099/12387/14739/15894/83964/67703/69524/58235/21838/270152/114873/54725/20361/18007/319480/70549/235472/268373/382097/17698	219
GO:0030695	GTPase regulator activity	282/10223	429/28407	2.10322990562359e-36	6.75136799705173e-34	3.52014268414896e-34	78808/216363/74694/117600/216439/216445/73910/213783/94221/56533/110279/71709/237422/13998/544817/19739/14784/19157/207592/108903/108686/94176/103724/76795/192786/380698/442801/216859/380711/109934/18015/319939/58996/68339/217835/217944/211914/16413/238130/20403/20334/20663/263406/217692/50779/217715/218581/268706/140580/14569/67046/30938/218397/544963/110596/210789/105689/223254/105445/71704/24056/239027/268739/219140/68813/105855/223435/13196/105841/223666/72318/109270/73167/223754/77980/66725/223864/26934/224014/78618/545156/207227/12549/21844/16443/26382/320484/24001/72238/71810/70785/22324/19765/268970/240168/72536/381112/74002/106952/71302/75415/74760/14682/76088/74055/71085/108995/192236/71972/73728/67894/19395/211673/109294/14270/329260/19735/50778/64214/19731/67792/78255/29809/19737/226652/24012/12663/98732/210933/226970/54610/58175/210293/53972/98402/347722/228482/19419/19261/18795/74030/241694/545481/277360/71435/215632/22325/19730/107746/27387/241308/69601/227801/76117/98910/56508/108699/228355/329727/109905/72121/76123/57257/214137/29815/71824/13645/271981/229877/229898/14469/214804/385263/76089/404710/16800/108067/69780/230784/72754/108911/213649/269608/73205/230098/381605/68016/50780/16476/67299/231532/14020/52850/26431/19415/231801/66096/231821/19159/231874/243362/50907/100855/231207/20563/212285/57915/320292/259302/243621/213522/11857/320560/320127/209773/243780/54324/69993/232201/232227/232237/207212/69710/76954/19347/319934/53322/70497/67865/330662/76484/232906/16801/233046/74206/245886/67425/27414/75547/29875/22411/109689/244654/244668/18186/17207/66790/19414/234094/102098/18545/50768/213027/50753/234353/78514/71310/208869/235633/330914/69632/21838/102442/14697/19417/67016/71544/114713/12662/14163/245666/11856/19889/75974/320634/73341/109904/171207/209815/236915/94190/236920	282
GO:0060589	nucleoside-triphosphatase regulator activity	282/10223	429/28407	2.10322990562359e-36	6.75136799705173e-34	3.52014268414896e-34	78808/216363/74694/117600/216439/216445/73910/213783/94221/56533/110279/71709/237422/13998/544817/19739/14784/19157/207592/108903/108686/94176/103724/76795/192786/380698/442801/216859/380711/109934/18015/319939/58996/68339/217835/217944/211914/16413/238130/20403/20334/20663/263406/217692/50779/217715/218581/268706/140580/14569/67046/30938/218397/544963/110596/210789/105689/223254/105445/71704/24056/239027/268739/219140/68813/105855/223435/13196/105841/223666/72318/109270/73167/223754/77980/66725/223864/26934/224014/78618/545156/207227/12549/21844/16443/26382/320484/24001/72238/71810/70785/22324/19765/268970/240168/72536/381112/74002/106952/71302/75415/74760/14682/76088/74055/71085/108995/192236/71972/73728/67894/19395/211673/109294/14270/329260/19735/50778/64214/19731/67792/78255/29809/19737/226652/24012/12663/98732/210933/226970/54610/58175/210293/53972/98402/347722/228482/19419/19261/18795/74030/241694/545481/277360/71435/215632/22325/19730/107746/27387/241308/69601/227801/76117/98910/56508/108699/228355/329727/109905/72121/76123/57257/214137/29815/71824/13645/271981/229877/229898/14469/214804/385263/76089/404710/16800/108067/69780/230784/72754/108911/213649/269608/73205/230098/381605/68016/50780/16476/67299/231532/14020/52850/26431/19415/231801/66096/231821/19159/231874/243362/50907/100855/231207/20563/212285/57915/320292/259302/243621/213522/11857/320560/320127/209773/243780/54324/69993/232201/232227/232237/207212/69710/76954/19347/319934/53322/70497/67865/330662/76484/232906/16801/233046/74206/245886/67425/27414/75547/29875/22411/109689/244654/244668/18186/17207/66790/19414/234094/102098/18545/50768/213027/50753/234353/78514/71310/208869/235633/330914/69632/21838/102442/14697/19417/67016/71544/114713/12662/14163/245666/11856/19889/75974/320634/73341/109904/171207/209815/236915/94190/236920	282
GO:0046873	metal ion transmembrane transporter activity	283/10223	437/28407	8.6710973398975e-35	2.22673779688568e-32	1.16101429645785e-32	103098/268345/58802/14806/215999/18390/333669/20513/216227/67972/192775/110880/12299/140723/16517/16518/69806/14813/70357/16533/11749/16515/109342/22368/216829/237831/53313/246788/15567/20500/11418/217826/238384/382571/238271/20493/72258/69048/20191/15165/380836/20505/114304/20499/105243/218756/16529/74571/16531/12294/12289/66092/192113/67712/213053/18174/59033/20273/16539/67498/239436/110862/223604/12300/20512/105727/67760/69354/224079/171286/208169/12892/14805/16522/16516/14811/20519/20517/18763/16440/211468/210148/20541/225030/210741/53871/240215/140492/20496/240332/240444/225997/13409/226025/240595/246696/329064/80906/94219/332396/214084/170706/381290/12292/240776/277328/12290/11931/240899/27222/98660/16524/16513/16526/16510/226922/94220/226999/53945/227059/18173/20511/16492/107723/20192/269346/381417/22785/317750/56461/269356/54338/20614/94249/12296/16538/114644/16500/77031/241794/12287/142681/227632/14299/12298/16519/94229/20269/110876/20265/20274/20272/16410/11928/56543/16490/242151/99738/97086/67547/68279/72413/11747/22065/16497/14800/140493/320508/242607/230612/60613/76574/14807/20544/242735/16498/242443/52076/20529/76376/75750/18764/72392/63873/170756/252972/18438/109305/71706/12293/16511/171209/16527/22784/20537/80334/20531/116873/109108/545758/70701/231290/54403/16438/108073/11941/15465/108017/12288/319734/14411/20276/16493/16494/14812/16523/16439/16508/55961/64177/11826/232156/53421/71699/21366/20866/20278/20277/54376/233836/16535/110891/16534/232975/20190/52150/20266/81904/81905/54378/16504/68667/16502/243983/104245/140919/17364/434203/76645/16525/11945/19414/80286/20494/110877/84036/74166/12286/20538/270028/20497/234595/235574/20264/24046/55991/16521/56379/235281/110637/72821/330953/214111/12306/15551/22068/331004/11933/11977/66240/236727/320707/620592	283
GO:0005543	phospholipid binding	307/10223	492/28407	3.49370702934797e-33	7.47653304280465e-31	3.898241527483e-31	20979/237542/21664/216445/17118/19156/216190/216238/71795/11818/16518/217303/246746/17846/108686/20742/268396/18148/216705/347708/171283/276891/192786/11749/54396/380698/216799/18618/216810/13855/246177/193003/11687/18806/11736/18738/13447/18015/18559/71943/104601/74479/52635/217463/20259/72183/238266/238055/58240/170625/15165/11472/218038/66895/105243/76722/544963/218503/17755/27062/11744/64652/11752/319508/17194/218952/72125/271221/218699/668218/66629/17909/114128/666173/66696/97998/69787/211401/13132/13196/107831/69146/17972/106039/207495/383075/23970/66871/19230/26934/74478/18951/74143/78618/13026/69150/14432/21844/545192/16440/240058/26382/27226/70785/66616/30948/74002/106952/71302/225471/225115/67804/69226/54670/54525/16952/319924/17195/226101/107338/73728/14218/227449/20980/26424/329260/18783/226594/246256/226778/320119/16510/329324/211383/226971/20324/17912/72823/227231/381269/435626/22349/69368/347722/170755/19374/19419/21825/18796/211429/329502/18795/16449/20844/16558/69178/228765/18830/277360/227743/227753/69601/227801/56324/72569/83435/228071/80976/54524/74718/76561/14066/26377/18805/11747/18645/17380/72789/76089/99889/13131/71801/14073/68099/19063/269587/19204/20544/100017/18781/18784/26970/74772/70568/50500/21894/11303/14745/209131/53378/74438/72145/56305/56356/77407/252972/19894/80751/29816/19679/20778/17969/215114/231821/231834/19159/26875/70381/14738/15289/231125/212285/12492/11745/16438/22158/57436/18705/109135/74741/16439/54722/71982/18979/71835/12332/26903/11746/207278/69710/16332/60510/319934/18704/110058/74105/232889/16535/22113/79196/232906/11816/26365/26367/26362/72287/20981/13854/17304/19771/14159/29875/83671/14389/234695/58994/244654/142682/93742/17207/14058/14456/70160/102141/69260/382018/71607/234577/14719/74020/74486/22351/102607/330914/56379/64011/235283/15481/21838/11806/244882/546134/12306/71602/208898/214763/244962/114713/272636/78134/27359/279706/333605/17772/236899/72345/94190	307
GO:0042578	phosphoric ester hydrolase activity	222/10223	350/28407	9.60382234731503e-26	1.76161541342179e-23	9.1850090419434e-24	237523/17931/13853/19279/19263/319468/52468/29863/14051/18605/209558/19272/69692/319638/20598/57319/27355/103466/67603/72349/238011/19058/75219/79560/74302/19052/66358/18806/19062/237860/20304/319939/56405/53892/66569/70881/104759/19276/14245/19042/81535/24000/66763/238871/105352/218232/14120/14121/218294/218461/19270/435391/19256/219135/19057/209039/18574/18606/14083/19245/68606/433022/104015/19252/18585/224860/19280/20975/19274/64898/19043/23984/225600/225651/114663/19255/76987/67655/14682/17330/19211/70567/74055/76952/240672/98432/19258/19264/14048/240892/68440/63953/19250/226849/19253/269180/16329/227120/21961/227292/11650/16331/77015/170768/18796/13537/19262/18795/18798/56045/18803/64899/19281/14049/19246/14683/228966/110854/14378/241489/18573/68082/19271/11928/19260/229776/229791/75769/242202/74776/19055/12350/18583/18805/12457/269437/242083/72685/18578/67916/19268/381511/16330/16818/19244/19273/14050/100340/11647/72519/14688/242291/272031/545622/19266/19249/18587/403178/231637/19247/19047/320717/100678/19248/19023/97287/15170/319801/70686/78600/19277/54611/140491/19283/18979/18575/107569/243382/207728/16332/18576/101490/76429/19267/212111/19060/18807/545902/19259/330554/18584/233537/233552/382051/58994/234779/66959/19053/319520/244416/54384/320981/110385/15368/234515/56318/67905/235584/270198/69274/12768/19054/77116/235044/72828/23959/235534/71584/237178/320634/17772/75590	222
GO:0035091	phosphatidylinositol binding	189/10223	294/28407	4.00845717084699e-23	6.43357375920942e-21	3.3544457377088e-21	20979/237542/21664/216445/216190/216238/71795/16518/17846/108686/268396/18148/380698/216799/216810/246177/193003/11687/18806/11736/18738/71943/74479/52635/217463/20259/72183/58240/170625/15165/11472/66895/105243/544963/218503/27062/64652/11752/17194/218952/72125/271221/218699/66629/17909/114128/666173/66696/13132/13196/69146/17972/106039/19230/26934/74478/18951/78618/69150/14432/16440/26382/70785/66616/106952/225115/67804/69226/54525/319924/17195/107338/14218/227449/329260/18783/226594/246256/226778/320119/16510/211383/226971/17912/72823/381269/435626/22349/69368/170755/19374/329502/18795/20844/16558/69178/228765/227743/227753/69601/227801/56324/72569/83435/228071/74718/76561/26377/18805/18645/72789/99889/71801/269587/100017/74772/50500/21894/209131/53378/74438/72145/56305/77407/252972/19894/80751/29816/19679/17969/215114/231821/231834/19159/70381/231125/212285/16438/22158/18705/109135/16439/54722/71982/71835/12332/207278/69710/16332/60510/319934/18704/74105/16535/22113/79196/26365/26367/72287/20981/19771/14159/29875/83671/14389/244654/142682/93742/17207/70160/102141/69260/71607/22351/102607/330914/56379/64011/21838/244882/546134/12306/71602/214763/244962/272636/333605/17772/72345	189
GO:0004674	protein serine/threonine kinase activity	259/10223	441/28407	1.1633394295133e-22	1.65969758610565e-20	8.65361259848492e-21	69181/73914/56480/26408/20393/78334/12534/110279/77976/237459/53859/24086/26406/78943/18750/26399/69681/11302/69922/20868/16886/213084/380698/12323/23939/26398/50932/55984/14841/18099/16706/18103/73086/22367/217866/19878/30955/66042/18760/399510/18755/338372/72113/328329/20620/26401/245269/69562/238564/71340/75607/20963/69635/105278/66671/223255/674895/12325/18753/26419/56532/50523/52033/19229/11482/11479/223435/56274/27373/223775/29857/19094/66725/266632/12265/26413/71751/51789/545156/107589/56637/26559/13548/26407/20815/26416/26415/18712/17691/57261/12445/20112/75292/381113/225028/18754/19877/66878/12326/26410/269019/70425/12322/225638/225724/225997/19091/110355/14773/13728/22625/17164/56489/18557/74137/213452/59125/16589/23797/226778/320119/18005/215303/26921/212225/98267/271697/12168/241113/11790/59041/170755/15259/18761/27103/12236/228550/329509/67333/228785/21969/27219/58231/76367/667663/13805/107951/59126/11480/227541/269275/11477/53416/329421/228012/65964/22138/15257/108058/71481/12167/18749/665113/18706/13175/70762/108079/17346/17776/230661/74178/53608/20111/18762/192656/70568/26409/17451/21812/26414/12545/21814/320129/12704/19079/330177/333050/207565/16885/80752/231876/20817/108099/12571/18647/140780/52163/110157/232341/101320/232533/15258/109880/77485/269774/16202/117229/233789/13631/18751/104175/26417/57740/75770/101540/13400/11652/13549/26411/381836/53415/233328/116904/18479/234878/330721/23954/16150/546071/208583/75669/102626/245038/21813/11481/209012/20623/70661/235344/18746/23938/214897/13143/50772/22137/74769/67071/12361/27206/18481/279561/110651/270672/382253/11836/70415/93843/19108/236900	259
GO:0051015	actin filament binding	149/10223	219/28407	4.25751647747188e-22	5.46665115707389e-20	2.85029524176012e-20	17118/64009/216033/237436/57778/17896/67803/13649/66713/20742/11749/26936/246177/14457/15567/216961/360013/12569/338367/237891/16796/94040/212073/11565/20259/12632/20741/109711/217692/11472/544963/22330/11752/218952/14623/18826/286940/17909/211401/18810/17886/110253/19230/22379/65970/224014/15163/56370/667772/320712/17356/17916/22350/225288/30948/12385/225115/319713/17919/20743/27360/18175/226251/71653/74117/226594/21346/17912/76709/22349/640524/241639/12296/74103/667663/11350/227753/74192/17996/71409/77767/241431/22138/70599/71994/68810/404710/59069/11426/12345/56226/21894/107684/54366/74376/23790/231646/63873/56378/29816/215114/231830/14086/56443/11867/242894/231148/22388/27428/68089/12344/12343/243725/12332/12386/69538/12721/13043/71960/67425/21954/14453/29875/17921/244281/72042/69697/14300/270058/326618/76499/22351/22437/55991/208076/19200/235431/70549/71602/17918/208943/17920/102502/69693/110380/66747/208431/192176/102866	149
