ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0001667	ameboidal-type cell migration	332/10338	471/28891	1.02374319152069e-53	6.64614079935233e-50	2.23499303075149e-50	17311/19279/15978/12512/83397/52014/20397/71371/16414/71709/21390/216190/70097/16000/16480/15184/14824/16416/26406/18613/18750/11818/192897/68585/56218/14172/723924/14257/16189/11749/20692/11541/73139/18858/11684/20317/66601/18015/319939/19141/192119/14026/19878/16413/11491/30955/22160/79221/17286/18760/66864/15251/80837/53618/11852/238328/20620/16398/16392/56048/68750/21418/109254/13614/20354/17260/11881/13618/19270/22418/218877/12339/12165/105450/12159/19229/68813/20855/94352/13655/66214/11482/11479/15370/20683/20356/11600/18133/18606/15117/239528/14083/19245/107831/18810/17886/105844/18591/56233/13731/20583/50525/68606/21380/20357/14314/19876/16415/18815/64074/15116/20681/19015/21926/22339/20359/14158/19274/13078/20541/12458/20997/18754/19877/12558/212307/11789/15200/14164/328949/240185/20358/14119/320924/17128/107321/16952/22682/107351/19211/11475/16973/54132/332397/76707/226352/74117/12767/381290/72674/19225/14645/18214/23797/27217/13590/338366/63953/21808/19130/20353/26921/20671/12168/18187/13869/14268/21961/22349/18505/16367/20684/14472/52392/72446/18508/114715/21825/214968/241639/107586/74030/20779/18803/20971/17395/21939/12162/13616/16776/18128/11350/69601/241324/24136/269275/11477/13482/14089/18024/16401/50884/16410/14462/18741/13645/229096/72007/14173/18645/70839/30953/50754/628324/20202/67916/18710/13615/12331/11426/230738/242687/12540/108911/13836/18707/24111/269608/21812/16600/54357/21687/16476/21814/23790/19303/19247/18438/108151/20778/20346/15507/14673/20349/231858/15289/243362/20348/18127/20423/14181/20563/16590/16542/11745/19016/67784/20315/19713/68465/16974/11857/17295/319757/109880/11826/56753/71093/21333/21336/20355/14461/232227/22421/101401/108655/16202/18704/12752/12721/330662/14175/14170/101540/11816/269878/26365/14751/11819/20352/29875/72461/14389/18479/22411/12562/384783/234779/12554/18186/16412/11601/14182/78560/22341/13642/16336/15368/13617/12317/56332/21667/76499/21813/75723/68743/73230/23871/74144/11806/20361/18854/319480/23938/21983/13036/74769/80903/18481/27494/171207/13641	332
GO:0006935	chemotaxis	321/10338	462/28891	9.22798151217181e-50	2.99540279885097e-46	1.00730703453918e-46	15978/16971/215999/53404/17319/16414/18717/72349/16416/18750/14172/94176/20564/16189/216869/237847/20296/20306/20290/118453/20304/20308/20302/20303/12775/217835/19141/12652/11491/30955/23795/238130/18760/18654/238871/16398/109700/56838/17101/193385/73710/18003/13614/18081/20354/20963/57266/16841/14063/105689/13618/110168/321019/22418/18753/218877/18183/13586/93725/13587/16854/53877/93726/93719/67272/13035/432867/654465/19229/13655/21943/668218/15370/105855/20356/11600/18133/18606/223601/14083/18810/53357/18591/22422/105722/17250/20583/68606/26413/65079/20440/20357/12374/245195/19876/268902/13052/11820/21844/16415/13508/64074/14293/14289/19252/27226/22339/58217/58218/20359/50930/22324/14158/12458/68545/15200/14164/20358/16948/20496/16149/18596/12978/19255/14764/20908/16952/12642/20562/107338/12767/240873/20343/16963/14127/27218/98365/74748/20353/12168/18187/12912/14268/12765/227288/20254/69453/12778/64095/107515/18761/21825/214968/16176/654459/16803/17395/140579/277360/13616/18128/13805/15139/21930/227541/21375/13482/53416/14725/16410/19271/20375/17242/12977/57257/13609/22329/16842/22253/16007/13123/11608/14173/70839/84112/16159/20201/20202/18578/13615/68050/12986/19204/18600/13836/18707/269608/17096/100039672/14745/20750/14747/63873/170756/18438/108151/20346/66711/56221/15507/18590/20349/14254/15289/15234/20348/20423/12182/20563/18595/16590/16542/56792/20311/56744/330122/14825/20310/17329/56066/171095/11689/20315/232341/16172/12267/18205/19277/18705/17295/73178/243743/19242/54324/71660/20355/26903/320701/50501/56212/20947/57342/12721/26417/16409/16985/13043/14175/319430/101540/384569/269878/232983/11652/233079/68667/20210/18213/20352/14159/16170/68119/12554/18186/14456/11601/14182/78560/211323/102103/20300/22341/13642/13617/18997/14388/12317/257632/17390/20312/270190/20187/252837/12773/102545/70031/104099/13051/59289/12769/12768/12771/12772/12774/83964/19649/12145/270152/11806/13075/20361/17127/13143/11487/21983/268373/12766/80903/58861/27494/76763	321
GO:0042330	taxis	321/10338	464/28891	4.11325219534106e-49	8.90107775071805e-46	2.99329300110083e-46	15978/16971/215999/53404/17319/16414/18717/72349/16416/18750/14172/94176/20564/16189/216869/237847/20296/20306/20290/118453/20304/20308/20302/20303/12775/217835/19141/12652/11491/30955/23795/238130/18760/18654/238871/16398/109700/56838/17101/193385/73710/18003/13614/18081/20354/20963/57266/16841/14063/105689/13618/110168/321019/22418/18753/218877/18183/13586/93725/13587/16854/53877/93726/93719/67272/13035/432867/654465/19229/13655/21943/668218/15370/105855/20356/11600/18133/18606/223601/14083/18810/53357/18591/22422/105722/17250/20583/68606/26413/65079/20440/20357/12374/245195/19876/268902/13052/11820/21844/16415/13508/64074/14293/14289/19252/27226/22339/58217/58218/20359/50930/22324/14158/12458/68545/15200/14164/20358/16948/20496/16149/18596/12978/19255/14764/20908/16952/12642/20562/107338/12767/240873/20343/16963/14127/27218/98365/74748/20353/12168/18187/12912/14268/12765/227288/20254/69453/12778/64095/107515/18761/21825/214968/16176/654459/16803/17395/140579/277360/13616/18128/13805/15139/21930/227541/21375/13482/53416/14725/16410/19271/20375/17242/12977/57257/13609/22329/16842/22253/16007/13123/11608/14173/70839/84112/16159/20201/20202/18578/13615/68050/12986/19204/18600/13836/18707/269608/17096/100039672/14745/20750/14747/63873/170756/18438/108151/20346/66711/56221/15507/18590/20349/14254/15289/15234/20348/20423/12182/20563/18595/16590/16542/56792/20311/56744/330122/14825/20310/17329/56066/171095/11689/20315/232341/16172/12267/18205/19277/18705/17295/73178/243743/19242/54324/71660/20355/26903/320701/50501/56212/20947/57342/12721/26417/16409/16985/13043/14175/319430/101540/384569/269878/232983/11652/233079/68667/20210/18213/20352/14159/16170/68119/12554/18186/14456/11601/14182/78560/211323/102103/20300/22341/13642/13617/18997/14388/12317/257632/17390/20312/270190/20187/252837/12773/102545/70031/104099/13051/59289/12769/12768/12771/12772/12774/83964/19649/12145/270152/11806/13075/20361/17127/13143/11487/21983/268373/12766/80903/58861/27494/76763	321
GO:0007015	actin filament organization	321/10338	471/28891	6.62005595191439e-47	1.0744350809957e-43	3.61315685375538e-44	114774/73910/17118/171580/14609/69288/11994/74392/114606/319277/67282/237436/11858/67803/18613/56699/14784/108100/12808/56193/66713/108686/20742/268396/76884/30794/11840/246177/14457/442801/11687/19062/237860/216961/338367/237891/14026/76820/19878/16413/20259/12632/80837/20741/109711/11852/21809/14744/76260/18708/26401/11472/140580/19720/68732/218194/67252/75477/97895/218397/57748/72114/14063/544963/18753/218952/63985/19229/246710/20410/18826/66214/56419/105855/20356/19219/211401/223601/14787/18810/17886/104445/207495/58234/19230/223864/223881/65970/13731/50525/68606/13383/16419/15163/56370/208177/78885/16423/50873/12954/17916/12488/66616/14158/22350/268970/260409/213556/18754/104215/225288/30948/13367/22240/225115/75415/104027/170826/17919/107351/54132/20411/27360/18175/71653/211673/12043/76707/74117/11352/17926/16456/21346/54418/13800/19130/17974/56363/17912/329165/76709/22349/26554/18761/14260/228543/19261/15901/20779/545481/20971/140579/277360/74103/76467/269233/11350/227753/74192/24136/74194/17996/77767/241431/329416/22138/50884/74569/11853/13609/71994/118449/211556/242253/208188/18706/18645/229320/24088/229474/99889/404710/16800/23897/59069/20194/12331/242687/16765/12540/12345/72754/56226/73205/21812/14745/23790/231637/231646/63873/19303/12704/56378/23912/29816/73121/16885/13717/215114/56221/231830/14086/66898/56443/11867/245880/22388/20563/74734/77569/320827/27428/12391/68089/58991/194401/93675/13860/12344/17295/12343/73178/109624/14489/109880/22793/54324/243725/56753/12332/19240/21333/12386/21336/232201/320502/207278/69710/16332/56212/20947/320878/70497/12721/66824/13043/233977/232906/22323/63986/50918/52428/243961/14453/20430/27385/21872/29875/18479/17921/22411/109689/234695/72042/234857/69581/18186/234094/102098/50768/14107/53318/326618/20312/22041/76499/22351/22437/15894/69524/11806/12363/19200/102774/235431/17127/71602/68178/66991/17918/208943/50875/67968/17920/102502/71584/69693/54004/100034363/399591/666244/18481/110380/58194/19241/11856/66747/208431/192176/102866/22376	321
GO:0060562	epithelial tube morphogenesis	280/10338	395/28891	3.15965202712851e-46	4.10249219202366e-43	1.37960385352938e-43	216285/14160/15364/17684/21412/270685/13982/14609/69718/74392/16000/11783/18612/15184/57265/207607/12808/19058/15110/54710/15478/216527/11684/21410/18121/19401/65256/192119/18109/19878/22160/11622/66042/207304/15375/20471/15251/238057/11852/18654/23967/20191/14634/56044/21418/13614/17702/100503085/19206/105278/271127/16371/16372/17260/15229/24064/71228/15209/22418/12165/105450/12159/73181/14463/14365/11482/19411/239337/20356/56274/252973/14368/11600/239405/14042/211401/17869/12614/140570/58234/106042/22337/21380/104156/74143/15205/13383/12374/73916/68146/19876/18763/20681/18132/56299/21926/22339/71461/16772/21815/20997/20472/381157/225164/14164/14815/20496/17128/18018/240641/16973/15242/18504/16814/12234/24069/12043/14633/12767/14048/11352/98711/18514/269152/13800/21808/241035/19335/12627/20353/20671/12370/12765/22420/16147/13838/18505/14472/22034/12505/22431/107515/14260/12156/107586/15376/20779/58231/20971/17979/21420/12162/64138/16776/18510/67122/18128/11350/13805/16870/24136/11477/14725/50884/23796/17242/14462/22414/229700/12977/18741/13645/99683/16842/114249/16911/23908/12042/18749/11608/51938/20674/14173/24063/329628/20319/15213/18129/207920/20460/21846/93760/29876/230824/269593/13836/67087/18707/433809/15208/20481/13841/26409/21923/21687/18764/19303/21386/654470/30841/20349/14254/243362/20423/231214/14362/20563/19664/18595/16542/11839/27428/12391/81896/67784/20315/19713/22158/16974/19227/17295/22413/319757/56753/108655/277939/16202/233651/11535/21676/12850/16411/14183/232906/22323/269878/20733/244058/18479/18021/12826/18186/94109/20377/50768/12367/234366/13642/13617/15245/58198/16373/74025/636931/21813/12387/57246/19143/18854/102774/17127/22601/18667/13036/22289/11609/14734/22773/94275/11835	280
GO:0007162	negative regulation of cell adhesion	233/10338	315/28891	9.99719206760336e-44	1.08169618171468e-40	3.63757479793147e-41	114774/16971/21929/11846/14728/14727/74048/74392/11540/237256/54712/72349/19084/217303/67245/171285/16189/16362/23939/11684/18015/20555/14422/57765/56013/16413/104836/11847/18708/56838/14634/238555/15216/193385/105352/12161/14538/109254/20354/20745/218397/69237/71228/18753/12159/16854/13035/66214/11482/105855/20356/11600/18606/14083/16852/14114/140570/223881/12703/20583/68606/12053/11815/13383/12524/12519/100043314/208154/208177/208650/67374/12394/13508/18815/240025/19252/17916/14960/18132/94185/22339/13640/13078/56468/17075/22694/65113/24066/20358/269023/16149/19255/17131/17196/54607/107321/16952/107351/16452/58205/19091/19211/22287/226352/16153/240754/19264/11352/21960/22164/240873/17926/100039795/338366/15284/18845/12477/74591/16147/13838/20720/19374/12505/16184/21825/19122/12156/16449/403172/228788/20779/20971/16181/67122/18128/11898/11350/319817/76747/20375/17242/242122/19260/242202/211556/16183/50706/229473/17829/11490/69769/94212/13131/230738/16792/12399/13844/18784/26970/108911/16600/100182/21923/230379/15977/12578/23790/63873/19247/16923/15507/17120/20349/15289/14190/20423/13839/67784/20315/232341/15170/16768/12527/19283/243743/317757/83408/93695/15404/56753/68396/93673/18844/20947/18576/16190/17173/27027/26365/20733/243910/50918/245126/14366/434215/12400/12550/208936/12554/78634/11601/15930/353310/50768/75863/234199/20300/12367/17390/213208/76499/83964/72828/114873/11806/76509/102657/235431/23938/11487/245555/12361/11856	233
GO:0050767	regulation of neurogenesis	326/10338	494/28891	5.08188763146899e-43	4.71308778621381e-40	1.58493758611529e-40	53605/216344/15978/74053/15364/16971/17863/20393/15214/15182/17118/18390/13654/216049/114606/216190/17172/16000/54712/15114/11858/17762/108100/13649/66713/14025/68585/16878/76901/213084/320027/94091/12323/22671/22368/83431/11484/20317/18015/18121/192119/18109/15902/20666/15982/15228/18080/18755/15251/18222/217715/16195/14634/20238/15904/20354/18212/21752/12950/13003/108138/17755/18996/13190/71918/22418/218877/26419/12159/73181/14365/18039/70086/239667/20356/18606/17869/14083/14375/22422/140570/58234/65079/71751/104156/74143/15205/545156/20357/56637/13490/224171/19876/268902/21844/104015/22129/13508/19317/17356/27279/20681/24001/21926/22339/20359/19280/13640/17158/11516/30948/12385/20358/12978/17919/17344/17196/225908/77125/19211/14102/20562/319740/56708/18011/71653/22326/74117/12767/12227/12316/21960/16579/29819/63953/19130/18845/20353/70827/12168/17756/14268/227292/98733/13838/20720/18627/59041/53872/18508/12064/228550/214968/16176/19262/12156/22352/100313531/15901/21817/329559/12162/12561/18128/16870/24136/14725/13390/13392/228357/17242/18049/16842/19055/54673/68151/723950/20585/665113/20482/14359/20674/14173/229285/72162/17380/20429/76089/24088/15213/12904/12032/16800/360213/20194/18129/13131/16975/242620/230674/19268/11426/83557/13844/56381/21938/170731/70433/69743/15207/15208/20481/67490/13841/17096/56711/69807/56710/19266/320790/67299/18096/12704/18125/19047/108151/20346/16885/13047/11423/20349/75788/14254/20348/19699/66993/19744/20423/16193/22629/14184/20563/14843/16590/16542/20893/19016/67784/20315/18205/79362/17295/22413/19283/73191/319757/243743/19242/109880/11921/20355/14461/18844/22421/16202/78748/11865/13631/14912/17173/11816/269878/64383/245886/20430/244058/18213/269951/20352/108071/14366/23966/18479/17760/12550/76454/20539/244667/18186/16412/211323/234219/22341/18997/387216/17751/20312/20187/22041/54214/13051/12387/67095/12774/16835/330914/57810/20660/21838/330938/235402/20361/12306/235472/66991/22601/22068/623459/58861/12361/70237/18481/382253/14168/27083/171207	326
GO:0034329	cell junction assembly	319/10338	481/28891	8.57323917291383e-43	6.95718358881957e-40	2.33959184797675e-40	16971/19272/14609/110829/216028/110279/20186/16480/72349/17762/16416/18613/18750/237979/192897/18164/108903/14799/18858/442801/11418/75909/56013/19878/16413/16981/238205/320772/20471/18755/109711/217692/18222/18191/399558/18260/18708/16398/11472/105352/20354/18212/17260/105689/75409/58187/76108/223254/22330/71228/22418/382864/18183/218952/14619/14623/19229/219228/11482/16402/12563/320873/18163/252973/18606/14083/107831/14787/18810/17886/18591/140570/58234/105827/56233/20583/70620/67451/68606/11877/12741/13845/12737/114141/16180/11815/13383/106347/56637/14432/208177/320712/13837/19876/11820/56173/17356/21826/56863/74762/21926/77596/22339/19280/13640/13823/56724/77057/18189/19877/16774/12558/12385/100042150/83814/75739/17131/12405/13380/19211/20411/73728/20743/12821/18190/396184/23836/12043/76707/226352/226359/74117/14270/269116/226519/103967/17926/29819/16456/16171/210933/13518/26921/329165/14367/13869/14268/21961/19329/12064/14260/16176/227580/19262/71436/20779/20971/104010/381409/12561/171171/107746/11350/227937/16410/12388/23796/19271/228357/15257/11853/109905/22239/56376/99633/320840/192167/208188/18417/386750/76089/24088/18211/20194/320747/70737/14613/230661/12557/11426/230775/107581/13844/12540/108911/13836/65945/260305/13841/14610/242384/21894/18198/53378/19266/17475/15569/21687/12695/67299/19249/23790/63873/19303/21388/19247/12740/11423/231830/11461/14086/26875/50791/19699/22388/14362/20563/246316/77569/16542/74318/319387/16979/18430/269788/58991/67784/232370/12527/19277/16523/12389/192198/66797/243725/14804/243499/22421/13631/210274/13043/80749/272381/21872/20450/18213/29875/22411/12552/12562/12560/12550/12554/12555/93742/18186/16412/56229/16150/353310/211323/71908/69697/50768/70546/75677/211134/13642/16795/26364/330814/12286/16373/270190/244682/12217/76499/12387/69137/83964/67703/69524/58235/21838/54725/244895/235431/17127/17920/21983/64085/56492/69693/73934/70237/60367/12738/635396/625713/434881/73347/14758/11856/66747/14168/27083/236915/94190/13641	319
GO:1903706	regulation of hemopoiesis	302/10338	452/28891	1.54872641133643e-41	1.11714798471068e-38	3.75679365744066e-39	17311/15978/67588/67596/17863/56484/12142/14728/14727/74048/20851/20848/16416/18750/22778/74370/17268/16878/16160/21414/16189/16362/22433/216799/104709/18015/216984/101488212/20304/20308/20302/18103/217127/15416/57765/19401/12775/57376/238377/192119/13386/217864/15902/75302/20259/18035/20663/15251/12192/14281/18708/83924/14634/16323/238555/20677/18003/12522/18081/20963/26564/13024/17260/11774/27220/18996/54169/328365/278672/70564/12159/239114/19229/13655/21807/21943/11479/19411/105855/14000/21847/18383/211770/17869/93686/57259/14375/74039/16197/77044/223870/22410/12703/20583/21832/12053/15163/56637/80859/14390/12394/26416/57757/15001/14960/100504404/21926/239985/68027/12193/56468/14309/22694/11789/15526/65113/16948/269023/21417/16149/12978/170826/240354/19255/17131/16952/21873/67155/14102/16153/226421/20668/19264/214498/22164/240873/74748/320404/63953/15284/16171/22637/107527/20846/12370/12487/12477/12912/16147/227326/16331/19374/19373/22034/12505/16909/14308/17536/16184/16169/19419/14118/215653/16449/16658/241764/11486/67017/18534/14683/72147/67122/11350/319817/11480/21930/20375/17242/14462/630146/229700/12977/16842/97086/19055/12349/16183/60505/229323/16159/16196/229473/50754/12479/23897/19885/18129/17480/230738/12986/16818/93760/12399/67087/100201/70673/18762/192656/17096/230126/30936/252838/15977/12578/16476/57816/16923/15507/170741/108723/11461/14255/15289/14190/74511/66993/20423/16193/12571/14184/74734/74244/15170/16768/21940/93675/70809/19242/109880/317757/83408/65963/15404/15405/68235/232174/14461/17342/108655/22083/16190/16409/17173/21946/26365/26362/22695/22177/243910/12606/18733/18722/18725/100038909/18726/18729/387168/14256/50794/207952/14159/723840/12400/234695/22761/99375/14456/244349/20377/69068/75863/59009/18997/234515/16168/26992/74256/81897/21813/12387/12768/12772/23871/72828/235320/16173/214812/235497/19659/56492/16186/74131	302
GO:0031589	cell-substrate adhesion	258/10338	368/28891	2.60604122624454e-41	1.69184196407796e-38	5.68939947708545e-39	17877/22288/16971/12512/19272/17118/110829/94214/12817/110279/16414/16480/319922/72349/16416/18613/192897/19324/246177/11687/50932/16407/18015/78473/56013/192119/320910/16413/23795/109711/18708/16398/109700/56838/11472/18073/68732/105352/68750/14538/18003/18081/20745/218397/13612/18074/18792/22330/218952/19229/68813/20410/380924/11482/16402/239337/11600/18606/15117/13132/268780/14083/14787/17886/16852/110253/18591/170736/64099/14114/13731/67451/50525/68606/13845/20440/12053/11815/16419/56637/67896/208177/84544/320712/12837/13837/21844/16415/18815/64074/27279/19015/81877/22339/58217/13640/14158/74199/18754/77057/19877/225341/225392/24066/225631/107321/18552/107351/16452/19211/20411/12043/76707/226352/21367/16782/226519/17926/16780/12490/26921/12825/14268/76709/208777/14260/21825/241226/12125/17289/19261/19262/20163/241639/16449/30963/74030/20779/58231/20971/277360/320664/16776/18128/11350/23928/16420/16403/16401/16410/19271/17242/12977/22329/211556/114249/16007/72007/50706/18167/99571/12032/11490/20194/230661/11426/107581/12540/108911/14726/18762/329872/230379/12578/21687/30924/15442/13406/20750/23790/19303/19247/140709/231830/20349/231858/12491/12571/12182/77569/16542/22371/19283/19242/109880/22793/109648/15404/68169/56753/69538/14115/101401/16202/57342/12721/16408/16409/16411/330662/13043/57278/72434/26362/50918/57776/29875/14366/12552/12554/195209/244667/18186/16412/14456/11601/56229/20377/83436/69697/50768/234199/20300/12317/270190/21667/76499/104099/12387/53867/13430/83964/21838/11806/76509/244895/235431/319480/17127/17130/15379/74769/13607/245555/12361/14758/11856/192176	258
