ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-MMU-9012999	RHO GTPase cycle	373/7168	395/8582	1.64144770525235e-11	1.83349708676688e-08	1.54296084293721e-08	12461/327826/117600/52666/216445/108037/23943/73910/83397/94221/14609/268301/69288/110279/70719/216197/75089/16480/19285/11858/57778/544817/21763/14674/56699/14784/108100/11465/15239/170758/69922/108686/20742/20868/94176/76884/56418/11671/18806/11736/109934/216963/21927/67300/76626/58996/14786/15519/217866/12709/19878/77480/238130/76983/11855/56784/20663/208846/80837/263406/109711/11852/18708/59079/218581/238505/109620/56349/328232/76577/19418/544963/320557/110596/75409/223254/71228/71704/64652/239027/16709/15381/219140/19229/68813/246710/108670/56419/105855/70350/223435/210998/14787/105782/223666/17972/19354/104445/20401/207495/66251/68653/73167/66871/19230/105827/223870/223881/22143/22379/26934/224014/20462/224105/22042/17063/545156/12549/15369/74201/68146/16443/71893/23853/106504/26382/24001/53817/14251/224480/106628/22324/19765/268970/72536/260409/20662/104215/19877/13511/225358/13367/106952/71302/16906/75415/53382/70361/75739/269061/21873/76088/71085/71972/11854/20874/27360/26403/104252/109294/68428/14270/381293/17970/208263/226525/226652/93840/226751/98386/68187/13518/69668/22637/17974/74018/329165/26554/210293/53972/227377/228482/214230/228543/211499/20619/12848/77006/22352/16449/20844/386649/170791/545481/140579/277360/58220/71435/11308/74159/241275/329366/22325/107746/14269/99412/13830/76117/74194/56324/71409/227937/108699/50884/68349/228359/229658/11853/57257/13171/19299/214137/242202/109333/214804/13605/18706/70804/622434/386750/20257/213498/404710/16800/59069/56374/18710/16818/242687/18221/67586/66146/51796/12540/12345/72754/213649/13836/56381/22319/269608/230972/269523/230098/68917/109331/26891/231532/19249/269682/71782/26431/12704/330177/23912/17969/11461/19353/66898/245880/243362/54216/74734/52331/259302/66087/101314/67784/213522/11857/12389/12638/68202/54324/69993/58909/20355/20166/12468/232201/19349/18844/232237/207212/69710/66508/56212/20947/66922/101565/19647/70497/233877/207425/330662/232906/16801/70584/233071/233103/52428/20430/75547/29875/434204/233489/66894/54126/13057/69581/16412/234094/102098/244418/50768/59009/78816/18709/326618/78514/320795/17973/11848/83669/235611/12539/319899/68743/330914/84004/244867/244895/12988/270163/72565/50875/208994/214345/70598/17920/71544/54004/22284/237038/71703/18481/14163/195727/76763/11856/75974/320634/73341/19655/109904/53332/27061/13726/54411/13058/236915/94190/236920	373
R-MMU-9675108	Nervous system development	241/7168	250/8582	9.10258328913162e-11	2.95000381321154e-08	2.48254573358894e-08	327826/215798/14360/12834/12833/13637/26396/18717/57764/54712/16399/16416/18750/14784/14783/11465/13649/66713/78294/20742/20564/23939/22187/18643/216963/12569/71770/67300/14786/73086/14026/15519/19878/18222/11852/18708/22151/73710/56705/20418/20354/107448/67399/218397/110596/26419/12934/13449/14586/16402/223435/15529/14083/14573/29857/19094/58234/12824/223881/22143/22142/22146/26413/11773/13845/224105/545156/56637/14432/19876/16443/13508/26416/26415/13001/83433/18188/22153/13640/22350/20662/19877/14587/22240/67951/13176/623279/22359/20743/14585/74117/12767/269116/19264/67771/103967/20739/19165/13800/18845/12839/17974/12825/12832/12912/76709/22145/13838/53972/14733/227377/20452/18761/214968/19262/14588/12995/20779/18803/17395/76829/545486/12841/227613/14810/22325/12831/11350/13429/16410/11853/57257/18749/170822/18706/18645/213498/20351/13636/13638/13639/20416/226548/13131/18710/11876/230735/26394/13844/13842/12540/110351/13836/18707/13841/17096/12517/21894/53378/20404/19247/56378/22190/20346/16885/13846/20349/11461/19353/56443/11867/19699/12568/65254/22612/12933/20563/68089/67784/20315/19713/53857/22144/14812/16653/22147/243743/13848/13448/18844/26417/330662/15461/11772/232906/232910/22323/80297/22177/11771/20130/20450/14159/384783/12826/12827/54126/22152/18186/16412/11733/14182/22186/18709/14388/13642/18747/17390/114255/13000/17973/270190/665033/13138/11848/235611/104099/53867/13430/17967/19684/20361/208117/74769/16571/18481/58194/140571/18846/17698/13641	241
R-MMU-9006934	Signaling by Receptor Tyrosine Kinases	376/7168	400/8582	9.61961512917211e-11	2.95000381321154e-08	2.48254573358894e-08	17311/327826/215449/20852/17937/67588/13867/20393/19272/15182/16775/14360/13982/13654/12834/12833/19205/66420/26396/17179/16000/67603/16480/20851/20848/11975/72349/16416/18750/260302/14784/20698/14783/108100/11465/15239/13649/114716/78294/14172/76884/14257/19052/23939/71520/22187/20020/12928/71770/319939/67300/12842/16400/14786/217169/12313/73086/15519/11651/19878/68775/77480/11845/73834/18654/399558/18708/59079/16398/14165/140580/56705/20418/14186/18212/218397/21828/24064/18753/18183/17228/14180/19229/68705/11908/15382/105855/17749/66335/78757/14083/17972/69833/18591/17444/328572/109270/29857/19094/12824/26413/12929/11773/224105/224116/11964/18815/21826/51792/18607/11984/56716/56424/11974/26416/26415/12815/66237/22339/20807/20405/98053/22324/14158/20112/11682/76890/20662/18754/74915/12314/19877/225326/69241/12385/15200/13367/15183/14164/18596/19255/18552/16452/72514/27060/14179/396184/67710/17164/338375/17970/23797/19165/12839/19253/17974/12825/12832/108664/329165/18187/12912/13869/14268/227290/16367/12064/114715/20732/14178/84092/71436/20844/228775/16396/20779/18803/54401/17395/140579/19246/12841/20459/11308/22325/12831/19730/107746/227743/56324/14425/50884/16410/12388/19271/17242/18049/109905/57257/12814/13645/71355/18749/18706/14173/24063/54635/18211/27371/20416/75778/226548/94212/13858/17346/18710/114143/19268/433759/16818/19273/242687/20111/12540/56717/18762/107568/242341/17096/230126/433702/545622/373864/66290/20404/20750/21814/116701/19303/19247/16923/21871/22190/17969/15507/23921/18590/11461/19353/245880/14255/14254/16591/15234/19248/18127/22612/54426/14181/21682/18595/16590/16542/231329/71920/11839/12223/14176/101314/11973/15170/107932/14177/64654/16653/12389/19283/66144/19242/140494/109880/12843/76252/110935/21802/16206/18576/18751/26417/14183/330662/15461/11772/13033/16002/16334/14175/14170/232910/12315/26362/19342/11652/20733/69920/15451/101568/11771/14256/13854/20430/18553/16001/18213/14159/18550/20408/12562/11972/74334/384783/12826/12927/12827/80707/54126/13057/19341/18186/16412/18791/14182/211323/16337/19053/319520/80857/22341/11966/22186/18709/13859/14388/67903/18747/20021/17973/75669/665033/81897/235584/102626/19882/15235/11848/12387/53867/12539/12649/12402/73699/75717/12988/71785/214058/208117/17999/22601/74769/80903/18481/110651/58194/14205/54411/13058	376
R-MMU-422475	Axon guidance	240/7168	249/8582	1.05640243982508e-10	2.95000381321154e-08	2.48254573358894e-08	327826/14360/12834/12833/13637/26396/18717/57764/54712/16399/16416/18750/14784/14783/11465/13649/66713/78294/20742/20564/23939/22187/18643/216963/12569/71770/67300/14786/73086/14026/15519/19878/18222/11852/18708/22151/73710/56705/20418/20354/107448/67399/218397/110596/26419/12934/13449/14586/16402/223435/15529/14083/14573/29857/19094/58234/12824/223881/22143/22142/22146/26413/11773/13845/224105/545156/56637/14432/19876/16443/13508/26416/26415/13001/83433/18188/22153/13640/22350/20662/19877/14587/22240/67951/13176/623279/22359/20743/14585/74117/12767/269116/19264/67771/103967/20739/19165/13800/18845/12839/17974/12825/12832/12912/76709/22145/13838/53972/14733/227377/20452/18761/214968/19262/14588/12995/20779/18803/17395/76829/545486/12841/227613/14810/22325/12831/11350/13429/16410/11853/57257/18749/170822/18706/18645/213498/20351/13636/13638/13639/20416/226548/13131/18710/11876/230735/26394/13844/13842/12540/110351/13836/18707/13841/17096/12517/21894/53378/20404/19247/56378/22190/20346/16885/13846/20349/11461/19353/56443/11867/19699/12568/65254/22612/12933/20563/68089/67784/20315/19713/53857/22144/14812/16653/22147/243743/13848/13448/18844/26417/330662/15461/11772/232906/232910/22323/80297/22177/11771/20130/20450/14159/384783/12826/12827/54126/22152/18186/16412/11733/14182/22186/18709/14388/13642/18747/17390/114255/13000/17973/270190/665033/13138/11848/235611/104099/53867/13430/17967/19684/20361/208117/74769/16571/18481/58194/140571/18846/17698/13641	240
R-MMU-109582	Hemostasis	451/7168	492/8582	4.71625817817435e-08	1.05361207700415e-05	8.86656537496778e-06	215449/16572/13139/12512/15182/14360/19156/19073/108829/17319/16414/19152/14708/15353/14676/14672/21859/16000/67972/16399/70218/16416/18613/18750/11818/14674/19084/286942/14784/15081/19039/11465/56193/16822/94176/19052/16568/20692/56697/320207/104709/216869/16562/53313/18436/94045/12928/18126/114714/11640/56077/73470/12842/14786/12313/217837/628900/26931/217864/11651/19088/30955/16570/217480/238130/18755/26932/238055/19363/109711/11852/20969/18708/16563/11472/14706/319152/97908/260423/319151/319149/319148/319150/360198/68732/20719/22151/73710/74145/20963/58992/26946/75050/56541/218454/14062/14064/239273/14702/18792/22330/18753/16427/16426/14463/16554/12759/68813/21933/13449/380921/66082/12419/18022/16402/18574/20363/15529/22631/22762/11600/117586/223601/14083/19354/17133/18591/16564/223864/22143/22142/22146/26934/16136/26413/18440/22363/14724/110197/11625/16423/19128/13052/67374/11820/20655/18815/51792/18607/64337/16580/16440/26416/268936/18585/100502766/22339/56055/74764/58217/319991/271457/22153/22324/57440/20662/20541/23984/18754/12314/17075/14465/19123/16149/240334/16573/67951/80718/67988/269060/14682/14675/76088/67072/56248/16452/19091/240641/16551/11551/13041/66866/225849/13660/19395/18788/20725/381290/72017/16565/18783/104009/16579/20339/20343/20344/14067/14127/16456/18106/12506/12523/21346/269152/109232/15078/320202/13590/21808/226849/14268/227290/22145/20720/210293/16331/227333/75396/14733/12505/228421/18761/19419/11552/17289/19261/16558/21824/76192/11602/16569/19124/20779/18803/20971/19246/14683/545486/14464/54519/227612/227613/22325/50915/56508/67059/241489/16401/18573/16410/21788/12258/228139/104418/192285/14462/109905/14679/20912/57257/14066/242202/13645/229841/18749/751864/381484/18706/14696/11747/22065/70839/18441/99571/20416/20194/13601/22365/18710/73804/433759/16818/20970/14191/100163/99982/12540/12345/14726/16561/14688/17096/21894/14700/16552/18405/21687/110524/231602/18125/19247/16923/11938/18439/23921/14693/18590/19085/17135/14673/231871/19353/15234/12491/242851/14677/18127/22612/22388/54216/109552/16069/11657/56744/16438/11941/110157/53857/232345/15170/14695/22144/12527/22371/56760/108078/16653/22147/16439/12343/27999/320127/66066/12843/71660/70945/14701/54368/14461/23945/78287/207728/56212/17540/18751/16797/11937/20399/26417/11674/110033/20737/16408/20909/16411/330662/15461/68038/16002/110891/14709/19222/12315/26438/243862/232943/18793/68891/26365/26367/21803/60595/18752/72461/109689/20340/12927/234779/22761/22152/16412/14068/14058/14456/11601/18791/19053/20911/109821/22341/18709/14065/18747/22041/21767/74840/14678/11848/16578/209737/71946/319899/83964/11804/69524/270152/11806/73699/12988/26968/71819/12306/14697/20255/235505/22068/74769/16571/68117/27359/80884/14205/19241/21857/75974/16784/14071/320707/192176/14069/14460	451
R-MMU-195258	RHO GTPase Effectors	223/7168	238/8582	1.637233380441e-06	0.000304798280992099	0.00025649989626909	17931/103468/16572/17904/94221/19386/52696/69912/57778/18750/445007/14784/108100/11465/66713/103573/70385/76884/18016/19052/77579/83431/20877/13543/13385/18643/18472/22627/216965/66140/68097/73470/12313/14026/26931/13424/19878/22630/52504/208846/26932/11852/26886/60411/16563/22151/73710/66336/544963/18753/16709/56419/105855/22631/14083/14787/17886/17972/19354/223701/19387/66570/19094/22143/22142/22146/22379/26413/13544/224105/51792/18607/71893/26416/224480/20807/74764/72415/22153/67938/67052/104215/12314/19877/225326/12532/12385/13367/16573/67951/72124/66468/11854/225849/17283/16319/76707/74117/14270/17978/381293/67771/17970/66977/226747/108000/226849/68549/329165/76709/22145/228421/12236/12235/13589/98932/66934/20779/54401/545486/11308/241275/227613/11350/320271/71409/66442/13427/215280/50884/59015/75786/11853/229841/109333/18645/404710/67037/100043813/20201/20202/73804/52276/242687/18221/55948/12540/108911/69928/18762/13542/67733/12704/19047/56378/56430/208628/17969/16885/22628/17120/11461/19353/56443/11867/245880/12615/19046/22629/12617/68089/101314/110379/53857/22144/22147/12638/13426/56150/20166/269966/56212/18817/18751/26417/12315/232943/232987/52428/71960/20430/233406/29875/234663/320394/12550/13057/22152/234865/19053/71876/320795/17973/75669/11848/80987/76499/235661/12387/23988/67629/26951/73699/68014/236930/54004/237038/102920/12229/18481/192176/13058/11835	223
R-MMU-9006925	Intracellular signaling by second messengers	238/7168	256/8582	4.55559631900438e-06	0.000680531880188537	0.000572694688788921	17311/327826/17246/117150/13867/20393/68031/14302/15182/14360/56484/13982/18717/19192/66997/18750/19084/14784/12416/30951/12418/13649/78294/103554/14172/19052/22187/216848/19175/55984/52615/69077/26446/108083/22123/19179/12313/26931/11651/19088/104111/26443/19167/26932/13983/18708/268706/14165/19720/14186/18753/18183/67089/19173/73902/19186/19188/104110/14180/15370/18574/11514/78757/19354/494448/18591/109270/266632/11512/26413/21762/16180/224129/12524/12519/11515/77647/252870/19170/51792/18607/56716/56424/12575/16912/16913/13001/15937/22324/268980/116871/18754/12314/15200/14164/18596/18719/77125/19211/74493/83490/58988/110355/14179/225849/23942/98432/109294/19821/23797/226849/17082/12487/54167/12912/13869/16367/70247/22034/14178/228769/12995/228775/20779/99377/12151/18718/227743/66998/19177/59029/18573/19182/68576/26442/13645/56692/18749/14013/18706/14173/56458/83409/229542/75778/19172/19185/18720/18710/329934/29871/54170/26445/54383/19646/433759/16818/73162/12371/56717/18707/52187/68441/19247/207565/67151/22190/66096/18590/19085/19353/14255/16591/15234/19181/19744/18595/16590/71920/11839/12223/14176/13619/107932/14177/64654/12576/14056/18575/21802/66508/56212/26440/12478/26417/14183/23997/16334/14175/14170/12315/11652/23996/57296/18752/67605/14256/13626/19171/66894/17463/244650/384783/14182/211323/16337/19053/21951/80857/234366/22186/18709/14388/18747/11513/13000/17874/73699/18854/17999/74769/54601/80903/53380/245670/245688/11798/16179	238
R-MMU-9013149	RAC1 GTPase cycle	155/7168	163/8582	4.88868941303465e-06	0.000680531880188537	0.000572694688788921	117600/52666/216445/23943/110279/70719/57778/544817/14674/56699/108100/69922/94176/76884/56418/18806/109934/216963/58996/238130/11855/20663/263406/18708/59079/218581/19418/544963/223254/64652/239027/16709/219140/68813/56419/105855/223435/223666/17972/104445/20401/105827/26934/224105/22042/545156/12549/71893/23853/24001/224480/22324/19765/72536/20662/225358/106952/71302/75415/75739/76088/109294/14270/17970/226652/226751/98386/74018/329165/210293/53972/227377/214230/20619/16449/170791/277360/71435/11308/241275/22325/76117/108699/50884/228359/229658/57257/214137/109333/214804/13605/18706/213498/404710/18710/242687/12540/213649/13836/22319/230098/231532/26431/12704/330177/17969/19353/66898/245880/259302/101314/213522/11857/12389/54324/69993/58909/232201/19349/232237/69710/66508/20947/70497/330662/232906/70584/233071/233103/20430/29875/54126/13057/16412/234094/102098/50768/78816/18709/78514/320795/319899/330914/84004/244867/71544/237038/18481/195727/75974/73341/109904/13726/13058/94190	155
R-MMU-6806834	Signaling by MET	67/7168	67/8582	5.48324702031946e-06	0.000680531880188537	0.000572694688788921	215449/16775/20848/260302/14784/15239/78294/22187/12928/319939/12842/16400/217169/11845/18708/16398/56705/14083/12824/12929/224116/12815/20405/20662/19255/12825/12832/14268/20732/84092/20844/20779/19246/12831/107746/56324/19271/109905/12814/71355/18706/20416/13858/373864/20404/19247/22190/19353/15234/54426/16653/12843/16206/15461/19342/20733/15451/20408/74334/19341/16412/22186/14388/53867/12402/214058/58194	67
R-MMU-9013404	RAC2 GTPase cycle	80/7168	81/8582	7.387355552038e-06	0.000825167615162644	0.000694411421891572	23943/110279/56699/69922/94176/18806/109934/216963/238130/18708/59079/218581/75409/56419/105855/223435/223666/17972/19354/104445/68653/26934/224105/22042/23853/22324/13511/71302/70361/75739/17970/98386/329165/210293/170791/277360/71435/11308/22325/50884/228359/229658/57257/18706/70804/18710/242687/12540/13836/22319/71782/26431/330177/17969/66898/52331/101314/12389/19349/66508/20947/70497/330662/232906/70584/233103/20430/29875/13057/16412/18709/330914/84004/71544/71703/195727/109904/13726/13058/94190	80
